"","lambdas","lambda_rmse_xv"
"1",0,0.86209033496542
"2",0.5,0.861950902463618
"3",1,0.861843698500567
"4",1.5,0.861758057290705
"5",2,0.861689573151983
"6",2.5,0.861635603430968
"7",3,0.861594261645949
"8",3.5,0.86156407759016
"9",4,0.861543848831194
"10",4.5,0.861532563097611
"11",5,0.861529352097202
"12",5.5,0.861533461299669
"13",6,0.861544228737217
"14",6.5,0.861561069348374
"15",7,0.861583462966754
"16",7.5,0.861610944838708
"17",8,0.861643097972008
"18",8.5,0.861679546856017
"19",9,0.861719952237367
"20",9.5,0.861764006725818
"21",10,0.86181143106475
